,country,alcconsumption,incomeperperson,suicideper100th,employrate,urbanrate
104,Latvia,13.45,5011.219456,20.36959,56.79999924,68.12
105,Lebanon,2.3,6746.612631999999,5.83831501,46.0,86.96
106,Lesotho,5.56,495.73424689999996,7.858619213,56.29999924,25.46
107,Liberia,5.07,155.0332312,7.1848526,66.0,60.14
108,Libya,0.1,7885.468037000001,4.667024612,48.59999847,77.54
110,Lithuania,16.3,5332.238590999999,33.34186,53.09999847,66.96
111,Luxembourg,12.84,52301.58718,12.40591812,53.5,82.44
113,"Macedonia, FYR",8.94,2221.185664,7.876878262000001,34.90000153,66.9
114,Madagascar,1.32,242.67753419999997,5.767406464,83.0,29.52
115,Malawi,1.44,184.1417966,10.17173481,71.80000305,18.8
116,Malaysia,0.87,5184.709328,8.2110672,60.5,70.36
118,Mali,0.99,269.8928811,8.262892723,45.70000076,32.18
119,Malta,4.1,11066.78414,4.551121235,46.79999924,94.26
122,Mauritania,0.11,609.1312058999999,6.882952212999999,46.90000153,41.0
123,Mauritius,3.53,5182.143721,8.081539999999999,54.5,42.48
124,Mexico,8.55,6105.280743,4.288574,57.90000153,77.2
125,"Micronesia, Fed. Sts.",5.25,2146.358593,4.762269974,,22.54
126,Moldova,23.01,595.8745345,15.53849,44.29999924,41.76
128,Mongolia,3.41,772.9333448,13.08961582,52.09999847,57.18
130,Morocco,1.24,1844.351028,2.109413624,46.20000076,56.02
131,Mozambique,2.27,389.76363430000004,10.55037498,77.0,36.84
132,Myanmar,0.58,,10.11499691,74.69999695,32.58
133,Namibia,12.09,2667.2467100000003,8.021969795,42.0,36.84
134,Nauru,4.81,,4.079525471,,
135,Nepal,2.42,268.2594495,11.65520954,61.79999924,17.24
136,Netherlands,9.75,26551.844240000002,8.164005,61.29999924,81.82
139,New Zealand,9.99,14778.16393,12.17976,65.0,86.56
140,Nicaragua,5.21,948.355952,12.12226868,58.79999924,56.74
141,Niger,0.34,180.083376,9.257975578,60.40000153,16.54
142,Nigeria,12.72,544.5994767000001,7.631049633,50.90000153,48.36
143,Niue,8.69,,4.217076302,,
144,Norway,8.35,39972.35277,10.823,65.0,77.48
145,Oman,0.92,11191.81101,3.7167394160000002,50.70000076,71.62
146,Pakistan,0.05,668.5479429999999,12.86981487,51.0,36.16
147,Palau,9.86,6243.571318,5.554276466,,80.46
148,Panama,7.3,5900.616943999999,6.1052819000000005,59.79999924,73.2
149,Papua New Guinea,3.64,744.2394132000001,11.95694065,70.40000153,12.54
150,Paraguay,7.91,1621.177078,4.409532,73.09999847,60.3
151,Peru,6.53,3180.430612,1.658907771,68.30000305,71.4
152,Philippines,6.08,1383.401869,1.922485113,61.0,64.92
153,Poland,14.43,6575.745043999999,13.63706,48.70000076,61.32
154,Portugal,13.89,11744.83417,8.188375472999999,57.59999847,59.46
156,Qatar,1.29,33931.83208,2.515720844,76.0,95.64
158,Romania,16.15,2636.7878,10.05932,49.5,54.24
159,Russia,16.23,2923.144355,27.874159999999996,58.79999924,72.84
160,Rwanda,9.99,338.2663912,13.11794853,79.80000305,18.34
161,Saint Kitts and Nevis,10.62,9175.796015,,,32.32
162,Saint Lucia,12.05,5248.582321,8.21094799,,27.84
163,Saint Vincent and the Grenadines,4.99,4885.046701,9.593027115,,47.04
164,Samoa,4.51,1784.0712839999999,5.5423235889999996,,23.0
166,Sao Tome and Principe,8.45,,10.49314976,,60.56
167,Saudi Arabia,0.34,9425.32587,6.401537895,51.20000076,82.42
168,Senegal,0.51,561.7085847999999,6.81143856,65.59999847,42.38
169,Serbia,12.21,1194.711433,13.716339999999999,,52.04
171,Seychelles,12.11,8614.120219,9.507927895,,54.34
172,Sierra Leone,9.48,268.33179029999997,11.98049736,63.79999924,37.76
173,Singapore,1.54,32535.832510000004,9.127511,62.40000153,100.0
174,Slovak Republic,13.31,8445.526689,10.64574,53.40000153,56.56
175,Slovenia,14.94,12729.4544,19.42261,55.90000153,48.6
176,Solomon Islands,1.37,1144.102193,4.484752655,65.0,17.96
177,Somalia,0.5,,29.86416435,66.0,36.52
178,South Africa,10.16,3745.6498520000005,15.714571,41.09999847,60.74
179,Spain,11.83,15461.75837,5.888479,52.5,77.12
180,Sri Lanka,0.81,1295.742686,28.10404587,55.09999847,15.1
181,Sudan,2.56,523.9501515,9.709555626,47.29999924,43.44
182,Suriname,6.56,2668.020519,20.747430800000004,44.70000076,74.92
183,Swaziland,5.05,1810.230533,12.87222195,50.90000153,24.94
184,Sweden,9.5,32292.48298,11.11583,60.70000076,84.54
